Title,Alternate title,Genre,Primary Source Verification,Notes,Production Company,Production date,Distribution date,Length (reels),Actors,Directors,Producers,Camerawork,Attachments,Source,Writer,Otherwise Involved,Link to media,Distributor
A Son of Satan,Son of Satan; A Son of Satan: The Story of a Haunted House; The Son of Satan; Ghost of Tolston's Manor,Drama,"out(3).pdf (https://dl.airtable.com/7sJZuoBqTB6lYbOYVDAm_out(3).pdf),out(4).pdf (https://dl.airtable.com/9t2rb9pkROvQdvAW8pCl_out(4).pdf)","Details and cast list taken from Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). The original film was 8 reels; censors demanded passages removed, bringing the length to 6 reels. --MPThe Chicago Defender (National edition) (1921-1967) [Chicago, Ill] 03 Jan 1925: 15; D IRELAND THOMAS. The Chicago Defender (National edition) (1921-1967) [Chicago, Ill] 26 July 1924: 6. -MC",Micheaux Film Corporation,4/1/23,10/1/24,8,"Bishop,Chenault,Morton,Howard,Hawley,Anthony,Ellis,Dove,Brown,Robinson,Stewart,Sewall,Tatum,Smallwood,Anderson",Micheaux,Micheaux,,,"Oscar Micheaux and His Circle,Blacks in Black and White",Micheaux,,,
A Trip to Tuskegee,,Actuality,clipping_5212609.pdf (https://dl.airtable.com/29WMU4vSQeqMTJFk3qOv_clipping_5212609.pdf),"Verification:  The New York Age (New York, New York) 4 Aug 1910,  Page 7 -MC","Tuskegee Normal and Industrial Institute,George W. Broome Exhibition Company",1/1/09,,,,,,,,Uplift Cinema: The Emergence of African American Film and the Possibility of Black Modernity,,,,
A Tuskegee Pilgrimage,,,clipping_5212626.pdf (https://dl.airtable.com/PlB4jVy5RlOPl5adEIA7_clipping_5212626.pdf),"Verification:  The Dallas Express (Dallas, Texas)14 Oct 1922, Page 7 - MC",Reol Productions Corporation,1/1/22,1/1/22,,,,,,,"""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926""",,,,
A Watermelon Contest,,,"clipping_5212717.pdf (https://dl.airtable.com/b65wPJ3MTSWsXM1ocHz1_clipping_5212717.pdf),clipping_5212737.pdf (https://dl.airtable.com/QgIeMhJ5RvKFwEHvwW5b_clipping_5212737.pdf)","Verification:  The Hawaiian Star(Honolulu, Hawaii)6 Feb 1897,  Page 1;  The Hawaiian Gazette(Honolulu, Hawaii)9 Feb 1897, Page 6 -MC","""Thomas A. Edison, Inc. """,1/1/1895,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
A Woman's Worst Enemy,,,,"Included in prospectus for Foster Co. but not clear whether produced.unable to verify-MC",Foster Photoplay Company,1/1/18,,5,,Foster,Foster,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",The Ambitions of William Foster",,,,
A Zulu's Devotion,,,,"unable to verify- MC",African Films,1/1/16,,,Zulu Tribesmen,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Absent,,Drama,clipping_5212867.pdf (https://dl.airtable.com/MCpPf2hWThmghPyvoVqF_clipping_5212867.pdf),"Box 52, Absent folder, GPJ collection.The Pittsburgh Courier(Pittsburgh, Pennsylvania)25 Aug 1928, Page 14 - MC",Rosebud Film Corporation,1/1/28,1/1/28,,"Brooks,Reed,Owens,Lincoln,Shackeford",Gant,Gant,Gant,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",George P. Johnson Negro Film Collection",,,,
Aladdin Jones,,Comedy,"out(1).pdf (https://dl.airtable.com/GtnK7dBlTuyD82OyP9FI_out(1).pdf),out(2).pdf (https://dl.airtable.com/utQbiIjMQOOKH2Q1TU0k_out(2).pdf)","The Chicago Defender (Big Weekend Edition) (1905-1966) [Chicago, Ill] 01 July 1916: 4; Afro-American (1893-1988) [Baltimore, Md] 29 May 1915: 5.",Ebony Film Corporation,2/6/15,,,"Montgomery,Murphy,McClain,Marshall",,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Are Working Girls Safe?,,Comedy,"clipping_5212973.pdf (https://dl.airtable.com/d6ehEh3NRoKtlObRhge4_clipping_5212973.pdf),clipping_5212977.pdf (https://dl.airtable.com/9UstPGMcQi2hRwGnSkat_clipping_5212977.pdf)"," The Wichita Beacon(Wichita, Kansas)10 Aug 1918, Page 7;  The Journal News(Hamilton, Ohio)24 Nov 1922, Page 12 ",Ebony Film Corporation,1/1/18,1/1/18,2,"Robinson,Jacks,Starks,Mason,Murphy,Skekeeter,Price,Brogsdale,Duree",,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,General Film Company
Arrowsmith,,,,"GPJ Box 2,  Arrowsmithunable to verify-MC",,12/13/21,,,"Coleman,Brooks,Hayes,Anson,Bennett,Hopton",Ford,,,,George P. Johnson Negro Film Collection,,,,
As the World Rolls On,The Heart of Jack Johnson ,Drama,clipping_5213051.pdf (https://dl.airtable.com/yAHEm0VPTJyZEJqUFcls_clipping_5213051.pdf),"Verification:  The Appeal(Saint Paul, Minnesota)11 Feb 1922,  Page 4 - MC",Andlauer Production Company,1/1/21,1/1/21,7,"Johnson,Thompson,Thomas,Simpson,Rice,Crawford",,,Andlauer ,,"Slow Fade to Black,""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",Frame by Frame: A Black Filmography (Part 1),Blacks in Black and White",,,,
Barber of Darktown,,,,unable to verify -MC,L-Ko,,,,,,,,,Slow Fade to Black,,,,
Bargain with Bullets,,,out.pdf (https://dl.airtable.com/wPOEOzrJTBuqYpasseqD_out.pdf),"The New York Amsterdam News (1922-1938) [New York, N.Y] 04 Dec 1937: 19. -MC",Million Dollar Productions,,,,"Fenderson,Cooper,Turnham,Harris",,,,,,,,,Million Dollar Productions
"Bathing Beauty Parade, Pacific Beach",,Actuality,,unable to verify - SN,,1/1/25,1/1/25,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Beach Ball,,,,"unable to verify - SNalso, production date (2019?)",,1/1/19,,,,,,,,,,,,
Bessie Coleman,,Newsreel,,"unable to verify as film, but did find articles mentioning her as a person - SN",PathÃ©,1/1/22,1/1/22,,Coleman,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Birth Mark,,Drama,,"unable to verify - SNIncluded in prospectus for Foster Co. but not clear whether produced.",Foster Photoplay Company,1/1/11,,,,Foster,Foster,,,"The Ambitions of William Foster,""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Birthright,"Birthright: A Story of the Negro and the South, Hooker's Bend",Drama,out.pdf (https://dl.airtable.com/eGAw5HacRXKvBAGfRGyK_out.pdf),"Verification: ""BIRTHRIGHT"" AT THE DUNBAR. (1924, Mar 28). Afro-American (1893-1988) Retrieved from http://search.proquest.com/docview/530483150?accountid=14512 - SN",Micheaux Film Corporation,1/1/24,11/22/24,10,"Chenault,Whitney,Tutt,Preer,Mines,Tatum,Elkas,Sewall,Crowell",Micheaux,Micheaux,,,"Slow Fade to Black,""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",Oscar Micheaux and His Circle,Frame by Frame: A Black Filmography (Part 1),Blacks in Black and White",Micheaux,,,
Black Gold,,,,"unable to verify - SNMarika originally entered the production date as 1928, but Bowser et al. has 1926 (prod)/1927(dist). --MPRichards also has release date as 1928. --MPSampson also gives release date as 1928. --MPImage from: https://www.iu.edu/~images/dams/475476_actual.jpg",Norman Film Manufacturing Company,1/1/26,1/1/27,6,"Criner,Boyd,Reynolds,Norcom,Tatums,Brown ,Horn",Norman,Norman,,475476_actual.jpg (https://dl.airtable.com/oEfnZmdSoZeZEaao8uig_475476_actual.jpg),"Oscar Micheaux and His Circle,""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",Blacks in Black and White",,,,
Black Narcissus,,,,"Unable to Verify - SN A PathÃ© short film. Foster's role is not clear. (Field 2016, 67)",PathÃ©,1/1/29,,,,,,,,The Ambitions of William Foster,Foster,,,
Black Thunderbolt,,Boxing,"clipping_5211193.pdf (https://dl.airtable.com/3gL1wh3rSW2IVPbAIz0f_clipping_5211193.pdf),out (1).pdf (https://dl.airtable.com/Y2bBBQ2hT3W9wDX6bvnz_out%20(1).pdf)","Verification: ""The black thunderbolt"". (1921, Dec 30). Afro-American (1893-1988) Retrieved from http://search.proquest.com/docview/530461785?accountid=14512Â - SNFilmed in Spain.",A.A. Millman,1/1/22,,7,Johnson,,,,,Frame by Frame: A Black Filmography (Part 1),,,,
Blind Wives,,,"clipping_5211139.pdf (https://dl.airtable.com/syf9ImYDQL2D8LSGjLZj_clipping_5211139.pdf),out (2).pdf (https://dl.airtable.com/CKUoR9rTqONPX3oIOcxg_out%20(2).pdf)","Verification: Box 50, folder 3, The Houston Informer, APril 22, 1921BLIND WIVES. (1921, May 07). The Chicago Defender (National Edition) (1921-1967) Retrieved from http://search.proquest.com/docview/491880266?accountid=14512Â - SNThe Charleston Daily Mail (Charleston, West Virginia) Â· Thu, Jul 27, 1922 Â· Page 5",,1/1/21,,,,,,,,George P. Johnson Negro Film Collection,,,,
Body and Soul,,Drama,out (3).pdf (https://dl.airtable.com/INGMLkbCQj2UMnG3mZZ4_out%20(3).pdf),"Verification: NEW MICHEAUX FILM STARS ROBESON. (1925, Feb 14). Afro-American (1893-1988) Retrieved from http://search.proquest.com/docview/530629973?accountid=14512 - SN Richards includes only Robeson, Russell, Gilbert, Tatum, Verwayen among cast. --MP",Micheaux Film Corporation,1/1/24,11/11/25,,"Robeson,Gilbert,Chenault,Russell,Rogers,Alexander,Cornick,Johnson,Robinson,Johnson,Tatum,Verwayen,Russell",Micheaux,Micheaux,,,"Envisioning Freedom: Cinema and the Building of Modern Black Life,""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Booker T. Washington's Industrial School,,Actuality,,Unable to verify as a moving picture but lots on Booker T. Washington and the school itself - SN,,1/1/17,1/1/17,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Boy What a Girl,,,"clipping_5211371.pdf (https://dl.airtable.com/WDbccCtgQCGwFGHhKIMa_clipping_5211371.pdf),out (4).pdf (https://dl.airtable.com/UiXIjBeZTa6m20mBDOhm_out%20(4).pdf)","Verification: Sign marva louis to star in film, 'boy, what A girl'. (1946, Aug 31). New York Amsterdam News (1943-1961) Retrieved from http://search.proquest.com/docview/226041072?accountid=14512 - SNÂ Box 4, Boy What a Girl folder, GPJ collectionCumberland Evening Times (Cumberland, Maryland) Â· Sat, Sep 7, 1946 Â· Page 3 --MP",Herald Pictures,,,,"Moore,Smith,Williams,Jackson,Guyse,Lewis,Mays-Sibil,Patterson,Stewart,Watson,Cartlett,Cornell",,,,,George P. Johnson Negro Film Collection,,,,
Brother,,Drama,,"unable to verify- SNIncluded in prospectus for Foster Co. but not clear whether produced.",Foster Photoplay Company,1/1/18,,6,,Foster,Foster,,,"The Ambitions of William Foster,""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Brown Gravy,,Comedy,out (5).pdf (https://dl.airtable.com/fl2iWWayTbqPFObyOPJ0_out%20(5).pdf),"Verification: Display ad 42 -- no title. (1930, May 24). Afro-American (1893-1988) Retrieved from http://search.proquest.com/docview/530821014?accountid=14512Â - SNScreenwriters credited in Klotman.",Paramount,1/1/29,1/1/29,2,"Preer,Williams,Thompson",,Christie,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",Frame by Frame: A Black Filmography (Part 1)","Cohen,Williams",,,
By Right of Birth,,,out (6).pdf (https://dl.airtable.com/Lf5qaoocQ5ytrB7ls0ri_out%20(6).pdf),"Verification: BY RIGHT OF BIRTH. (1921, Sep 24). The Chicago Defender (National Edition) (1921-1967) Retrieved from http://search.proquest.com/docview/491917343?accountid=14512 - SN",Lincoln Motion Picture Company,1/1/21,1/1/21,6,"Brooks,Thompson,King,Bates,Meehan,Ellenwood,Kinbrough,Childers,George,Prevost,Bates,Mitchell",,,Gant,clipping_5171305.pdf (https://dl.airtable.com/HfKpU17SsaWxMuJ5ZXU2_clipping_5171305.pdf),"Richard E. Norman and Race Filmmaking,Blacks in Black and White,""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",Johnson,,,
Cephas Returns,,,,Unable to verify - SN,Hampton Institute,1/1/15,,,,,"Folsom,Miner",,,Uplift Cinema: The Emergence of African American Film and the Possibility of Black Modernity,,,,
Chicago's Business Activities and Scenes along State Street/Chicago Businesses and Secret Orders,,,out (10).pdf (https://dl.airtable.com/WmSzqpbT324m2K5D68Ng_out%20(10).pdf),"Unable to Verify with clipping - SN Foster photo play co. completes chicago picture. (1918, Jun 29). The Chicago Defender (Big Weekend Edition) (1905-1966).",Foster Photoplay Company,6/1/18,6/1/18,,"Marshall,Robinson,Bowen,Ellis,Clark",Foster,Foster,,,The Ambitions of William Foster,,,,
Children of Fate,,Drama,out (7).pdf (https://dl.airtable.com/I2wgsxNuRLWwHFkE91m9_out%20(7).pdf),"Verification: FILM REVIEWS. (1927, May 07). Afro-American (1893-1988) Retrieved from http://search.proquest.com/docview/530709870?accountid=14512Â - SNDiscrepancy: GPJ gives release date as 1918. --MP",Colored Players Film Corporation of Philadelphia,1/1/26,1/1/26,8,"Chenault,Henderson,Mickey,Agusta,Jackson,Howard,Clayton",Calnek,Starkman,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",George P. Johnson Negro Film Collection",,,,
Chocolate Dandies,,Actuality,out (8).pdf (https://dl.airtable.com/sb7hZkhkSdWWQlpFswdu_out%20(8).pdf),"Verification: DANDIES GROSS $15,000. (1924, Dec 13). Afro-American (1893-1988) Retrieved from http://search.proquest.com/docview/530574162?accountid=14512Â - SN",PathÃ©,1/1/24,1/1/24,,"Blake,Sissle",,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Clef Club Five Minutes for Train,,,,"unable to verify - SN",Colored and Indian Film Corporation,1/1/18,1/1/18,,Europe,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",Frame by Frame: A Black Filmography (Part 1)",,,,
Colored Elks Parade,,Actuality,,,Brotherhood of Elks,1/1/16,1/1/16,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Colored Soldiers Fighting in Mexico,,Newsreel,,Unable to verify. --MP,Peter P. Jones Photoplay Ltd.,1/1/16,1/1/16,,,Jones,Jones,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Colored Troops at Chillicothe,,Actuality,,,Finely Film Company,1/1/18,1/1/18,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Colored Villainy,,,,"A ""blackface farmer's daughter joke"" (Cripps, 181). --MP",Keystone,1/1/15,1/1/15,,,,,,,Slow Fade to Black,,,,
Come Back,,,,,Enterprise Film Company,1/1/22,1/1/22,,"Fullen,Nolan,Ray,Watson,Price",,Whipper,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Dandy Jim's Dream,,,,,Afro-American Film Company,1/1/14,1/1/14,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Dark and Cloudy,,Comedy,,,Gaiety Comedies,1/1/19,1/1/19,2,"Byron,Ovey",,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Dark Manhattan,,,,,,1/1/28,,,Herndon,,,,,George P. Johnson Negro Film Collection,,,,
Darktown Affair,Darktown Affairs,,,,Mt. Olympus Distributing Co.,1/1/21,1/1/21,1,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",George P. Johnson Negro Film Collection",,,,
Darktown Follies,,,,"A PathÃ© short film. Foster's role is not clear. (Field 2016, 67)",PathÃ©,1/1/29,,,,,,,,The Ambitions of William Foster,Foster,,,
Darktown Jubilee,,Comedy,,"""Reportedly caused a race riot in Brooklyn"" (Richards). --MP",Biograph,1/1/14,1/1/14,,Williams,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Dat Blackhand Waitah Man,,Comedy,,,Ebony Film Corporation,1/1/17,1/1/17,,"Robinson,Jacks,Starks,Mason,Murphy,Skekeeter,Price,Brogsdale,Duree",,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Deceit,,Drama,,,Micheaux Film Corporation,1/1/21,1/1/21,,"Preer,Desmond,DeComathiere,Lucas,Johnstone,Young,Watkins,De Bulger,Watkins,Miller,McGowan,Schooler,Brown,Carey,Miles,Brown,Coldwell,Sandifer,Billings,Dixon,Galezio,Peterson,Carey,Henry,Anderson",Micheaux,Micheaux,,,Richard E. Norman and Race Filmmaking,Chesnutt,,,
Democracy or a Fight for Right,,Actuality,,,Democracy Photoplay Corporation,1/1/19,1/1/19,,,,,,,"Slow Fade to Black,""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Democracy Paid For,,,,"Box 53, F28",,,9/10/19,,,,,,,George P. Johnson Negro Film Collection,,,,
Devil for a Day,,Comedy,,,Ebony Film Corporation,1/1/17,1/1/17,,"Robinson,Jacks,Starks,Mason,Murphy,Skekeeter,Price,Brogsdale,Duree",,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Devils Match,Devils (The) Match,,,"Box 53, F28",E&H Distribution Company,1/1/23,,,,,,,,George P. Johnson Negro Film Collection,,,,
Dixie Love,,Drama,,,Paragon Pictures,1/1/34,1/1/34,,"Pope,Gregg,Childress",Hargrave,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Do the Dead Talk?,,Comedy,,,Ebony Film Corporation,1/1/18,1/1/18,2,"Robinson,Jacks,Starks,Mason,Murphy,Skekeeter,Price,Brogsdale,Duree",MacCullough,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,General Film Company
Doing Their Bit,,"Actuality,Newsreel",,Unable to verify,Toussaint Motion Pictures Company,1/1/18,1/1/18,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Easy Money,,Drama,,"Richards gives the date as 1921. --MP Unable to verify ",Reol Productions Corporation,1/1/22,4/3/22,,"Dudley,Morton,Verwayen,Clough,Pryor,Shannon","Levy,Dudley",,,"""Easy money"""". - NYPL Digital Collections.pdf (https://dl.airtable.com/OPWo1JYBRxiCmjv1txia_Easy%20money%22.%20-%20NYPL%20Digital%20Collections.pdf)"",""Easy money"""" 2 - NYPL Digital Collections.pdf (https://dl.airtable.com/n85pjxCmRiuVPOgIdm9A_Easy%20money%22%202%20-%20NYPL%20Digital%20Collections.pdf)"",""Easy money"""" 3 - NYPL Digital Collections.pdf (https://dl.airtable.com/1fTmoOwSsZqcRSFaYIKQ_Easy%20money%22%203%20-%20NYPL%20Digital%20Collections.pdf)"",""Easy money"""" 4 - NYPL Digital Collections.pdf (https://dl.airtable.com/7kOGv2LJQdSYHgrAioS4_Easy%20money%22%204%20-%20NYPL%20Digital%20Collections.pdf)"",""Easy money"""" 5 - NYPL Digital Collections.pdf (https://dl.airtable.com/IntfWDYPRZCE5znQpWkw_Easy%20money%22%205%20-%20NYPL%20Digital%20Collections.pdf)"",""Easy money"""" 6 - NYPL Digital Collections.pdf (https://dl.airtable.com/ykp4Xx0MTIWWYiwLzCe6_Easy%20money%22%206%20-%20NYPL%20Digital%20Collections.pdf)"",""Easy money"""" 7 - NYPL Digital Collections.pdf (https://dl.airtable.com/jd0WW9SS5G12OHwjfzCA_Easy%20money%22%207%20-%20NYPL%20Digital%20Collections.pdf)""","""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926"",""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",Brown,,http://digitalcollections.nypl.org/items/510d47df-fb57-a3d9-e040-e00a18064a99,
